alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.574700,0.007310,-0.000600,-78.618331,4500000.000000,5.000000
-4.850000,-0.557500,0.007260,-0.000500,-76.790634,4500000.000000,5.000000
-4.700000,-0.540500,0.007200,-0.000500,-75.069444,4500000.000000,5.000000
-4.550000,-0.523200,0.007150,-0.000400,-73.174825,4500000.000000,5.000000
-4.400000,-0.506100,0.007090,-0.000400,-71.382228,4500000.000000,5.000000
-4.250000,-0.488900,0.007040,-0.000300,-69.446023,4500000.000000,5.000000
-4.100000,-0.471700,0.007000,-0.000300,-67.385714,4500000.000000,5.000000
-3.950000,-0.454500,0.006930,-0.000200,-65.584416,4500000.000000,5.000000
-3.800000,-0.437300,0.006880,-0.000200,-63.561047,4500000.000000,5.000000
-3.650000,-0.420200,0.006830,-0.000100,-61.522694,4500000.000000,5.000000
-3.500000,-0.402800,0.006800,-0.000100,-59.235294,4500000.000000,5.000000
-3.350000,-0.385700,0.006730,-0.000100,-57.310550,4500000.000000,5.000000
-3.200000,-0.368400,0.006700,-0.000100,-54.985075,4500000.000000,5.000000
-3.050000,-0.351300,0.006640,-0.000000,-52.906627,4500000.000000,5.000000
-2.900000,-0.334000,0.006600,-0.000000,-50.606061,4500000.000000,5.000000
-2.750000,-0.316700,0.006560,-0.000000,-48.277439,4500000.000000,5.000000
-2.600000,-0.299600,0.006510,0.000000,-46.021505,4500000.000000,5.000000
-2.450000,-0.282300,0.006490,0.000000,-43.497689,4500000.000000,5.000000
-2.300000,-0.265100,0.006420,0.000000,-41.292835,4500000.000000,5.000000
-2.150000,-0.247800,0.006390,0.000100,-38.779343,4500000.000000,5.000000
-2.000000,-0.230500,0.006360,0.000100,-36.242138,4500000.000000,5.000000
-1.850000,-0.213300,0.006320,0.000100,-33.750000,4500000.000000,5.000000
-1.700000,-0.195900,0.006280,0.000100,-31.194268,4500000.000000,5.000000
-1.550000,-0.178700,0.006260,0.000100,-28.546326,4500000.000000,5.000000
-1.400000,-0.161400,0.006230,0.000100,-25.906902,4500000.000000,5.000000
-1.250000,-0.144100,0.006200,0.000100,-23.241935,4500000.000000,5.000000
-1.100000,-0.126800,0.006190,0.000100,-20.484653,4500000.000000,5.000000
-0.950000,-0.109600,0.006170,0.000100,-17.763371,4500000.000000,5.000000
-0.800000,-0.092300,0.006140,0.000000,-15.032573,4500000.000000,5.000000
-0.650000,-0.075000,0.006120,0.000000,-12.254902,4500000.000000,5.000000
-0.500000,-0.057700,0.006120,0.000000,-9.428105,4500000.000000,5.000000
-0.350000,-0.040400,0.006110,0.000000,-6.612111,4500000.000000,5.000000
-0.200000,-0.023100,0.006090,0.000000,-3.793103,4500000.000000,5.000000
-0.050000,-0.005800,0.006100,0.000000,-0.950820,4500000.000000,5.000000
0.100000,0.011600,0.006100,-0.000000,1.901639,4500000.000000,5.000000
0.250000,0.028800,0.006100,-0.000000,4.721311,4500000.000000,5.000000
0.400000,0.046200,0.006100,-0.000000,7.573770,4500000.000000,5.000000
0.550000,0.063500,0.006120,-0.000000,10.375817,4500000.000000,5.000000
0.700000,0.080700,0.006150,-0.000000,13.121951,4500000.000000,5.000000
0.850000,0.098100,0.006140,-0.000100,15.977199,4500000.000000,5.000000
1.000000,0.115400,0.006150,-0.000100,18.764228,4500000.000000,5.000000
1.150000,0.132700,0.006200,-0.000100,21.403226,4500000.000000,5.000000
1.300000,0.150000,0.006210,-0.000100,24.154589,4500000.000000,5.000000
1.450000,0.167200,0.006230,-0.000100,26.837881,4500000.000000,5.000000
1.600000,0.184500,0.006270,-0.000100,29.425837,4500000.000000,5.000000
1.750000,0.201700,0.006310,-0.000100,31.965135,4500000.000000,5.000000
2.050000,0.236300,0.006370,-0.000100,37.095761,4500000.000000,5.000000
2.200000,0.253500,0.006420,-0.000100,39.485981,4500000.000000,5.000000
2.350000,0.270800,0.006440,-0.000000,42.049689,4500000.000000,5.000000
2.500000,0.288100,0.006480,-0.000000,44.459877,4500000.000000,5.000000
2.650000,0.305300,0.006540,-0.000000,46.681957,4500000.000000,5.000000
2.800000,0.322600,0.006570,-0.000000,49.101979,4500000.000000,5.000000
2.950000,0.339700,0.006620,0.000000,51.314199,4500000.000000,5.000000
3.100000,0.357100,0.006650,0.000000,53.699248,4500000.000000,5.000000
3.250000,0.374200,0.006710,0.000100,55.767511,4500000.000000,5.000000
3.400000,0.391500,0.006740,0.000100,58.086053,4500000.000000,5.000000
3.550000,0.408600,0.006800,0.000100,60.088235,4500000.000000,5.000000
3.700000,0.426000,0.006850,0.000100,62.189781,4500000.000000,5.000000
3.850000,0.443100,0.006910,0.000200,64.124457,4500000.000000,5.000000
4.000000,0.460300,0.006950,0.000200,66.230216,4500000.000000,5.000000
4.150000,0.477400,0.007010,0.000300,68.102710,4500000.000000,5.000000
4.300000,0.494800,0.007050,0.000300,70.184397,4500000.000000,5.000000
4.450000,0.511800,0.007120,0.000400,71.882022,4500000.000000,5.000000
4.600000,0.529000,0.007170,0.000400,73.779637,4500000.000000,5.000000
4.750000,0.546200,0.007210,0.000500,75.755895,4500000.000000,5.000000
4.900000,0.563300,0.007280,0.000600,77.376374,4500000.000000,5.000000
5.050000,0.580500,0.007330,0.000600,79.195089,4500000.000000,5.000000
5.200000,0.597500,0.007390,0.000700,80.852503,4500000.000000,5.000000
5.350000,0.614600,0.007460,0.000800,82.386059,4500000.000000,5.000000
5.500000,0.631800,0.007510,0.000900,84.127830,4500000.000000,5.000000
5.650000,0.648800,0.007570,0.000900,85.706737,4500000.000000,5.000000
5.800000,0.665700,0.007650,0.001100,87.019608,4500000.000000,5.000000
5.950000,0.682800,0.007700,0.001200,88.675325,4500000.000000,5.000000
6.100000,0.699800,0.007780,0.001300,89.948586,4500000.000000,5.000000
6.250000,0.716700,0.007860,0.001400,91.183206,4500000.000000,5.000000
6.400000,0.733700,0.007920,0.001600,92.638889,4500000.000000,5.000000
6.550000,0.750600,0.007980,0.001700,94.060150,4500000.000000,5.000000
6.700000,0.767500,0.008070,0.001800,95.105328,4500000.000000,5.000000
6.850000,0.784100,0.008160,0.002000,96.090686,4500000.000000,5.000000
7.000000,0.800900,0.008240,0.002200,97.196602,4500000.000000,5.000000
7.150000,0.817700,0.008320,0.002400,98.281250,4500000.000000,5.000000
7.300000,0.834200,0.008410,0.002700,99.191439,4500000.000000,5.000000
7.450000,0.850800,0.008520,0.002900,99.859155,4500000.000000,5.000000
7.600000,0.867200,0.008610,0.003100,100.720093,4500000.000000,5.000000
7.750000,0.883800,0.008710,0.003400,101.469575,4500000.000000,5.000000
7.900000,0.900100,0.008810,0.003700,102.167991,4500000.000000,5.000000
8.050000,0.916400,0.008920,0.004000,102.735426,4500000.000000,5.000000
8.200000,0.932300,0.009050,0.004400,103.016575,4500000.000000,5.000000
8.350000,0.948500,0.009180,0.004700,103.322440,4500000.000000,5.000000
8.500000,0.964500,0.009290,0.005100,103.821313,4500000.000000,5.000000
8.650000,0.980800,0.009410,0.005400,104.229543,4500000.000000,5.000000
8.800000,0.997100,0.009540,0.005700,104.517820,4500000.000000,5.000000
8.950000,1.013600,0.009680,0.005900,104.710744,4500000.000000,5.000000
9.100000,1.030100,0.009830,0.006200,104.791455,4500000.000000,5.000000
9.250000,1.048100,0.010000,0.006100,104.810000,4500000.000000,5.000000
9.400000,1.066100,0.010160,0.006000,104.931102,4500000.000000,5.000000
9.550000,1.083900,0.010310,0.006000,105.130941,4500000.000000,5.000000
9.700000,1.101100,0.010460,0.006100,105.267686,4500000.000000,5.000000
10.000000,1.138600,0.010820,0.005600,105.231054,4500000.000000,5.000000
10.150000,1.157100,0.011020,0.005300,105.000000,4500000.000000,5.000000
10.300000,1.175500,0.011220,0.005200,104.768271,4500000.000000,5.000000
10.450000,1.193800,0.011430,0.005000,104.444444,4500000.000000,5.000000
10.600000,1.212000,0.011610,0.004800,104.392765,4500000.000000,5.000000
10.750000,1.228900,0.011800,0.005000,104.144068,4500000.000000,5.000000
10.900000,1.243300,0.011970,0.005700,103.868003,4500000.000000,5.000000
11.050000,1.258000,0.012160,0.006300,103.453947,4500000.000000,5.000000
11.200000,1.272800,0.012350,0.006900,103.060729,4500000.000000,5.000000
11.350000,1.287700,0.012560,0.007400,102.523885,4500000.000000,5.000000
11.500000,1.302500,0.012770,0.008000,101.996868,4500000.000000,5.000000
11.650000,1.317300,0.012990,0.008600,101.408776,4500000.000000,5.000000
11.800000,1.332100,0.013230,0.009100,100.687831,4500000.000000,5.000000
11.950000,1.346700,0.013470,0.009700,99.977728,4500000.000000,5.000000
12.100000,1.361300,0.013720,0.010300,99.220117,4500000.000000,5.000000
12.250000,1.376000,0.013960,0.010800,98.567335,4500000.000000,5.000000
12.400000,1.390700,0.014190,0.011400,98.005638,4500000.000000,5.000000
12.550000,1.405300,0.014430,0.012000,97.387387,4500000.000000,5.000000
12.700000,1.419800,0.014680,0.012600,96.716621,4500000.000000,5.000000
12.850000,1.434100,0.014940,0.013200,95.990629,4500000.000000,5.000000
13.000000,1.448200,0.015210,0.013800,95.213675,4500000.000000,5.000000
13.150000,1.462100,0.015490,0.014500,94.389929,4500000.000000,5.000000
13.300000,1.475800,0.015780,0.015200,93.523447,4500000.000000,5.000000
13.450000,1.489200,0.016080,0.015900,92.611940,4500000.000000,5.000000
13.600000,1.502300,0.016400,0.016600,91.603659,4500000.000000,5.000000
13.750000,1.515100,0.016730,0.017400,90.561865,4500000.000000,5.000000
13.900000,1.527600,0.017070,0.018300,89.490334,4500000.000000,5.000000
14.050000,1.539700,0.017420,0.019200,88.386912,4500000.000000,5.000000
14.200000,1.551400,0.017790,0.020100,87.206296,4500000.000000,5.000000
14.350000,1.562600,0.018180,0.021100,85.951595,4500000.000000,5.000000
14.500000,1.573000,0.018570,0.022200,84.706516,4500000.000000,5.000000
14.650000,1.582200,0.018930,0.023500,83.581616,4500000.000000,5.000000
14.800000,1.590700,0.019310,0.024900,82.377007,4500000.000000,5.000000
14.950000,1.598900,0.019730,0.026300,81.039027,4500000.000000,5.000000
15.100000,1.606900,0.020170,0.027700,79.667824,4500000.000000,5.000000
15.250000,1.614700,0.020640,0.029000,78.231589,4500000.000000,5.000000
15.400000,1.622100,0.021140,0.030300,76.731315,4500000.000000,5.000000
15.550000,1.629200,0.021690,0.031500,75.112955,4500000.000000,5.000000
15.700000,1.635900,0.022280,0.032700,73.424596,4500000.000000,5.000000
15.850000,1.642200,0.022910,0.033800,71.680489,4500000.000000,5.000000
16.000000,1.648200,0.023590,0.034900,69.868588,4500000.000000,5.000000
16.150000,1.653700,0.024340,0.035900,67.941660,4500000.000000,5.000000
16.300000,1.658700,0.025140,0.036800,65.978520,4500000.000000,5.000000
16.450000,1.663300,0.026030,0.037700,63.899347,4500000.000000,5.000000
16.600000,1.667300,0.026990,0.038400,61.774731,4500000.000000,5.000000
16.750000,1.670800,0.028030,0.039100,59.607563,4500000.000000,5.000000
16.900000,1.673800,0.029180,0.039600,57.361206,4500000.000000,5.000000
17.050000,1.676200,0.030420,0.040000,55.101907,4500000.000000,5.000000
17.200000,1.677700,0.031800,0.040200,52.757862,4500000.000000,5.000000
17.350000,1.678700,0.033300,0.040300,50.411411,4500000.000000,5.000000
17.500000,1.679000,0.034930,0.040300,48.067564,4500000.000000,5.000000
17.650000,1.678300,0.036720,0.040000,45.705338,4500000.000000,5.000000
17.800000,1.676400,0.038700,0.039700,43.317829,4500000.000000,5.000000
17.950000,1.673800,0.040830,0.039100,40.994367,4500000.000000,5.000000
18.100000,1.669900,0.043190,0.038300,38.664043,4500000.000000,5.000000
18.250000,1.664600,0.045760,0.037300,36.376748,4500000.000000,5.000000
18.400000,1.657800,0.048560,0.036200,34.139209,4500000.000000,5.000000
18.550000,1.649500,0.051630,0.034800,31.948480,4500000.000000,5.000000
18.700000,1.639500,0.054970,0.033300,29.825359,4500000.000000,5.000000
18.850000,1.628000,0.058530,0.031600,27.814796,4500000.000000,5.000000
19.000000,1.613900,0.062510,0.029600,25.818269,4500000.000000,5.000000
19.150000,1.598400,0.066750,0.027400,23.946067,4500000.000000,5.000000
19.300000,1.580500,0.071370,0.025000,22.145159,4500000.000000,5.000000
19.450000,1.560300,0.076350,0.022400,20.436149,4500000.000000,5.000000
19.600000,1.537900,0.081740,0.019500,18.814534,4500000.000000,5.000000
19.750000,1.513200,0.087520,0.016300,17.289762,4500000.000000,5.000000
19.900000,1.485400,0.093820,0.012900,15.832445,4500000.000000,5.000000
20.050000,1.457400,0.100280,0.009300,14.533307,4500000.000000,5.000000
20.200000,1.425300,0.107460,0.005200,13.263540,4500000.000000,5.000000
20.350000,1.392200,0.114900,0.001000,12.116623,4500000.000000,5.000000
20.500000,1.357300,0.122880,-0.003800,11.045736,4500000.000000,5.000000
20.650000,1.324600,0.130630,-0.008400,10.140090,4500000.000000,5.000000
20.800000,1.284700,0.139890,-0.014200,9.183644,4500000.000000,5.000000
20.950000,1.251800,0.148250,-0.019500,8.443845,4500000.000000,5.000000
21.100000,1.221100,0.156480,-0.024900,7.803553,4500000.000000,5.000000
21.250000,1.192900,0.164470,-0.030200,7.252994,4500000.000000,5.000000
21.400000,1.167400,0.172290,-0.035500,6.775785,4500000.000000,5.000000
21.550000,1.145700,0.179610,-0.040500,6.378821,4500000.000000,5.000000
21.700000,1.134400,0.184830,-0.044100,6.137532,4500000.000000,5.000000
21.850000,1.117600,0.191450,-0.048700,5.837555,4500000.000000,5.000000
22.000000,1.103900,0.197450,-0.052800,5.590782,4500000.000000,5.000000
22.150000,1.097200,0.201920,-0.055900,5.433835,4500000.000000,5.000000
22.300000,1.087800,0.207160,-0.059600,5.251014,4500000.000000,5.000000
22.450000,1.082400,0.211500,-0.062600,5.117730,4500000.000000,5.000000
22.600000,1.079500,0.215230,-0.065200,5.015565,4500000.000000,5.000000
22.750000,1.071600,0.220480,-0.068900,4.860305,4500000.000000,5.000000
22.900000,1.069700,0.224050,-0.071400,4.774381,4500000.000000,5.000000
23.050000,1.063500,0.229030,-0.074900,4.643496,4500000.000000,5.000000
